"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
1.52e-20,5.09e-20,5.98e-20,5.43e-20,4.58e-20,1.93e-20,2.11e-20,3.32e-21,2.08e-20,2.91e-20,1.37e-20,2.29e-20,3.97e-21,1.92e-20,1.63e-21,2.28e-21,2.45e-21,8.61e-22,8.35e-22,6.32e-22,7.82e-18,6.63e-18,3.21e-18,5.39e-18,1.04e-17,1.59e-18,3.67e-18,1.62e-19,9.04e-18,3.43e-18,-1.40606171236295e-18,1.29e-17
1.3e-20,5.29e-20,7.06e-20,6.2e-20,4.64e-20,1.57e-20,3.36e-20,2.56e-21,2.26e-20,3.16e-20,1.11e-20,2.29e-20,5.19e-21,1.71e-20,2.15e-21,2.3e-21,2.94e-21,8.7e-22,1.04e-21,4.9e-22,3.05e-18,1.01e-17,4.42e-18,8.04e-18,1.16e-17,1.52e-18,3.98e-18,1.4e-19,9.02e-18,3.25e-18,4.56714407259698e-19,1.53e-17
1.23e-20,3.76e-20,9.41e-20,7.12e-20,1e-60,3.16e-20,1.09e-20,1e-60,1.68e-20,1.2e-20,8.95e-21,1.99e-20,2.71e-21,1.49e-20,1.28e-21,6.4e-21,3.96e-21,4.32e-21,1.3e-21,8.35e-22,1.52e-17,7.33e-18,3.38e-18,6.82e-18,7.1e-18,1.37e-18,4.13e-18,7.94e-20,5.3e-18,1.82e-18,-6.99788419973082e-19,1.05e-17
5.89e-21,2.36e-20,3.04e-20,3.35e-20,2.41e-20,1.12e-20,1.73e-20,1.23e-21,1.3e-20,1.67e-20,5.17e-21,1.31e-20,2.62e-21,1.41e-20,1.72e-21,1.67e-21,1.5e-21,6.61e-22,8.82e-22,4.71e-22,4.5e-18,1.38e-17,6.41e-18,8.62e-18,6.58e-18,1.13e-18,2.96e-18,8.72e-20,5.78e-18,1.92e-18,-5.34589703124081e-19,1.21e-17
1e-60,1.07e-20,1e-60,2.69e-20,8.69e-21,5.23e-21,9.28e-21,1.44e-21,8.06e-21,1.21e-20,3.87e-21,9.96e-21,1.34e-21,1.26e-20,9.69e-22,2e-21,9.78e-22,8.29e-22,6.67e-22,3.95e-22,7.71e-18,2.53e-17,1.14e-17,8.19e-18,6.61e-18,9.19e-19,2.69e-18,7.87e-20,3.76e-18,1.1e-18,7.67837771843969e-19,8.33e-18
1e-60,1.23e-20,2.59e-20,1.19e-20,1e-60,4.81e-21,6.01e-21,1.38e-21,6.78e-21,1.14e-20,3.17e-21,7.64e-21,1.45e-21,1.18e-20,9.08e-22,1.18e-21,6.78e-22,6.49e-22,5.81e-22,9.18e-22,1.88e-17,3.42e-17,1.53e-17,1.26e-17,6.71e-18,9.74e-19,4.96e-18,1.54e-19,5.78e-18,1.72e-18,1.04381958339747e-19,1.43e-17
9.99e-21,2.99e-20,1.87e-20,4.79e-20,2.93e-20,1.44e-20,2.17e-20,2.78e-21,1.68e-20,2.01e-20,8.84e-21,1.79e-20,3.32e-21,1.69e-20,2.38e-21,1.96e-21,2.14e-21,3.83e-22,1.68e-21,4.85e-22,2.68e-17,3.65e-17,1.72e-17,1.37e-17,6.19e-18,8.68e-19,3.67e-18,1.61e-19,2.91e-18,9.16e-19,1.75508977534347e-19,6.34e-18
1e-60,4.01e-21,1e-60,4.22e-21,5.05e-21,3.96e-21,4.03e-21,2.16e-21,3.06e-21,3.58e-21,1e-60,1e-60,5.17e-22,4.79e-21,8.65e-22,1.77e-21,7.08e-22,7.29e-22,3.91e-22,1.73e-21,2.28e-17,7.19e-18,3.65e-18,6.46e-18,1.27e-17,2.55e-18,8.85e-18,1.46e-19,1.04e-17,3.62e-18,8.46072143900191e-19,2.57e-17
1e-60,5.72e-20,7.76e-20,1.08e-19,1e-60,3.7e-20,2.29e-20,3.63e-21,2.29e-20,3.29e-20,2.15e-20,3.53e-20,3.63e-21,2.21e-20,1e-60,3.64e-21,5.21e-21,4.01e-21,5.68e-21,1.87e-21,5.38e-17,1.13e-17,5.12e-18,7.21e-18,6.32e-18,1.13e-18,3.03e-18,1.4e-19,5.03e-18,1.8e-18,-4.78839782075192e-19,1.22e-17
1e-60,6.34e-20,2.28e-19,7.3e-20,7.06e-20,5.43e-20,3.34e-20,3.34e-21,3.89e-20,5e-20,2.33e-20,4.36e-20,5.29e-21,6.05e-20,9.66e-22,5.86e-21,8.22e-21,5.14e-21,3.13e-21,1.2e-21,6.99e-18,5.13e-17,2.43e-17,2.48e-17,1.97e-17,3.06e-18,1.31e-17,1.9e-19,1.46e-17,4.33e-18,2.31936391282243e-18,3.62e-17
