PUB_ID,RADEG,DECDEG,ID,AREA_ARCSEC_SQ,SFR_FUV,SFR_FUV_PER_ARCSEC_SQ,SFR_FUV_PER_PC_SQ,SFR_FUV_PER_KPC_SQ,STELLAR_MASS,STELLAR_MASS_PER_ARCSEC_SQ,STELLAR_MASS_PER_PC_SQ,STELLAR_MASS_PER_KPC_SQ,TIR_LUM,TIR_LUM_PER_ARCSEC_SQ,TIR_LUM_PER_PC_SQ,TIR_LUM_PER_KPC_SQ,MIPS70_LUM,MIPS70_LUM_PER_ARCSEC_SQ,MIPS70_LUM_PER_PC_SQ,MIPS70_LUM_PER_KPC_SQ,MIPS24_LUM,MIPS24_LUM_PER_ARCSEC_SQ,MIPS24_LUM_PER_PC_SQ,MIPS24_LUM_PER_KPC_SQ,IRAC4_LUM,IRAC4_LUM_PER_ARCSEC_SQ,IRAC4_LUM_PER_PC_SQ,IRAC4_LUM_PER_KPC_SQ,IRAC3_LUM,IRAC3_LUM_PER_ARCSEC_SQ,IRAC3_LUM_PER_PC_SQ,IRAC3_LUM_PER_KPC_SQ,IRAC2_LUM,IRAC2_LUM_PER_ARCSEC_SQ,IRAC2_LUM_PER_PC_SQ,IRAC2_LUM_PER_KPC_SQ,12plogOH,12plogOH_unc,Filename_eqw,PAH5.7eqw,PAH5.7eqw_unc,PAH6.2eqw,PAH6.2eqw_unc,PAH7.4eqw,PAH7.4eqw_unc,PAH7.6eqw,PAH7.6eqw_unc,PAH7.9eqw,PAH7.9eqw_unc,PAH8.3eqw,PAH8.3eqw_unc,PAH8.6eqw,PAH8.6eqw_unc,PAH10.7eqw,PAH10.7eqw_unc,PAH11.23eqw,PAH11.23eqw_unc,PAH11.33eqw,PAH11.33eqw_unc,PAH12.0eqw,PAH12.0eqw_unc,PAH12.62eqw,PAH12.62eqw_unc,PAH12.69eqw,PAH12.69eqw_unc,PAH14.0eqw,PAH14.0eqw_unc,PAH16.45eqw,PAH16.45eqw_unc,PAH17.04eqw,PAH17.04eqw_unc,PAH17.39eqw,PAH17.39eqw_unc,PAH17.87eqw,PAH17.87eqw_unc,PAH12.7eqw,PAH12.7eqw_unc,PAH11.3eqw,PAH11.3eqw_unc,PAH7.7eqw,PAH7.7eqw_unc,PAH17.0eqw,PAH17.0eqw_unc,Filename_flx,PAH5.7flx,PAH5.7flx_unc,PAH6.2flx,PAH6.2flx_unc,PAH7.4flx,PAH7.4flx_unc,PAH7.6flx,PAH7.6flx_unc,PAH7.9flx,PAH7.9flx_unc,PAH8.3flx,PAH8.3flx_unc,PAH8.6flx,PAH8.6flx_unc,PAH10.7flx,PAH10.7flx_unc,PAH11.23flx,PAH11.23flx_unc,PAH11.33flx,PAH11.33flx_unc,PAH12.0flx,PAH12.0flx_unc,PAH12.62flx,PAH12.62flx_unc,PAH12.69flx,PAH12.69flx_unc,PAH14.0flx,PAH14.0flx_unc,PAH16.45flx,PAH16.45flx_unc,PAH17.04flx,PAH17.04flx_unc,PAH17.39flx,PAH17.39flx_unc,PAH17.87flx,PAH17.87flx_unc,PAH12.7flx,PAH12.7flx_unc,PAH11.3flx,PAH11.3flx_unc,PAH7.7flx,PAH7.7flx_unc,PAH17.0flx,PAH17.0flx_unc,Filename_atm,ArII,ArII_unc,ArIII,ArIII_unc,SIV,SIV_unc,NeII,NeII_unc,NeIII,NeIII_unc,SIII,SIII_unc,IRAC1_LUM,IRAC1_LUM_PER_ARCSEC_SQ,IRAC1_LUM_PER_PC_SQ,IRAC1_LUM_PER_KPC_SQ
Bulge,10.645833,41.350277,Bulge,1455.34,4.9643437E-5,3.4111228E-8,2.3853846E-9,0.0023853846,2.2690984709960938E7,15591.535112043191,1090.309863510652,1.0903098635106518E9,8.749198791649395E39,6.011790228846452E36,4.204021051657231E35,4.204021051657231E41,1.6078604755886196E39,1.1048005796505419E36,7.725826613922291E34,7.72582661392229E40,3.735844100590965E38,2.5669906005407433E35,1.7950863408868878E34,1.7950863408868877E40,2.4061032996754487E39,1.6532929072762713E36,1.1561411696293827E35,1.1561411696293826E41,3.0382541956749675E39,2.087659375592623E36,1.4598919173141262E35,1.459891917314126E41,2.972937871882287E39,2.0427789189346042E36,1.4285071920632413E35,1.4285071920632412E41,8.9,0.03,bulgeEQW2.dat,,,1.162422,0.193512,2.5503535,0.367562,0.7879593,0.159772,0.7157474,0.113405,0.5092248,0.0749565,0.3018626,0.0586573,0.0284548,0.0130182,0.3415904,0.0154687,0.4418755,0.0327085,0.2176415,0.024342,0.4335195,0.0422486,0.0519152,0.0225659,,,0.085648,0.00754861,1.0525118,0.0397098,0.0175742,0.0073537,,,0.48543471097946167,0.047897431595979416,0.7834658920764923,0.036181854846038725,4.054060220718384,0.41652083279822755,1.1557340119034052,0.041084383398358536,bulgePAH.dat,,,1.323932E-15,8.235961E-17,4.738838E-15,4.7030493E-16,1.5171144E-15,2.940846E-16,1.4667983E-15,2.0214382E-16,1.1301323E-15,1.5173084E-16,6.961946E-16,1.2310324E-16,6.948477E-17,3.24429E-17,8.1012317E-16,3.664325E-17,1.0402369E-15,6.985429E-17,4.854773E-16,5.2690783E-17,9.083083E-16,7.888473E-17,1.0804298E-16,3.9258134E-17,,,1.0998616E-16,1.0119162E-17,1.256141E-15,4.1704468E-17,2.0138043E-17,8.984777E-18,,,1.016351193189621E-15,8.811357107086048E-17,1.8503600955009463E-15,7.888187138652846E-17,7.722750902175903E-15,5.903682013688529E-16,1.386265153065324E-15,4.384502637872175E-17,bulge_ato_Line.dat,1.2195322E-16,,1.7130929E-16,2.6147088E-17,1.0708671E-16,,6.517317E-17,1.2363037E-17,2.4975223E-17,5.679434E-18,6.989414E-18,3.4391548E-18,6.287150279855822E39,4.320055986818078E36,3.0209980091747015E35,3.020998009174701E41
Region 1,10.376708,40.718834,irc1,1649.38,4.3186745E-5,2.6183622E-8,1.8310103E-9,0.0018310103,3317066.8986816406,2011.099260741394,140.635373279673,1.4063537327967298E8,3.807869443953529E39,2.3086671621782298E36,1.6144417854928003E35,1.6144417854928E41,5.088429080289035E38,3.08505564532675E35,2.1573671709726746E34,2.1573671709726746E40,2.2043807606112216E38,1.3364905362082853E35,9.346025286445167E33,9.346025286445166E39,1.443529197240344E39,8.751950413127017E35,6.12020419529943E34,6.12020419529943E40,7.479983155500224E38,4.535027195370517E35,3.1713265222885164E34,3.171326522288516E40,4.465370698597784E38,2.7073025613247303E35,1.893205938291465E34,1.8932059382914648E40,9.2,0.2,irc1EQW2.dat,0.3863641,0.0807992,1.1602479,0.138665,1.271946,0.224839,1.1541374,0.0942771,0.9820877,0.0766802,0.4256687,0.0445287,0.4729886,0.0394097,0.0905205,0.0117151,0.6005341,0.0161031,0.8477193,0.0316807,0.4261006,0.0260175,0.7610075,0.0400526,,,,,0.1924349,0.00944453,0.9802164,0.0531199,0.0860255,0.0093548,,,0.7610074877738953,0.04005260020494461,1.4482533931732178,0.03553838132920503,3.408170998096466,0.25557895245743706,1.258676789700985,0.05475797087696755,irc1PAH.dat,3.577127E-16,4.951773E-17,1.2005749E-15,4.038998E-17,1.4107878E-15,2.0099574E-16,1.2793633E-15,8.203345E-17,1.0807294E-15,5.5472092E-17,4.560317E-16,4.0198516E-17,4.9713777E-16,3.3140733E-17,7.8372405E-17,9.661028E-18,4.914503E-16,9.598688E-18,6.865016E-16,1.9599659E-17,3.2241497E-16,1.682928E-17,5.4004565E-16,2.4470722E-17,,,,,9.371862E-17,4.458063E-18,4.5206143E-16,2.0943804E-17,3.8501452E-17,4.268505E-18,,,5.400456786155701E-16,2.4470722302794458E-17,1.1779519617557527E-15,2.182387369257093E-17,3.770880579948425E-15,2.2406679418110173E-16,5.842814855277539E-16,2.1834316435464204E-17,irc1_ato_Line.dat,5.3699014E-17,,5.783712E-17,,2.0269528E-17,4.1145953E-18,1.9650609E-17,3.6619273E-18,1.4860955E-17,,7.823066E-18,1.49855E-18,9.190829902135539E38,5.572293772287489E35,3.896682923550727E34,3.8966829235507267E40
Region 2,11.345208,41.648083,irc2,1455.34,4.8393886E-5,3.3252633E-8,2.3253433E-9,0.0023253432,4464714.230407715,3067.8152393308196,214.53110234713483,2.145311023471348E8,3.887755363305258E39,2.6713725750032697E36,1.868080241430588E35,1.868080241430588E41,4.859521791593384E38,3.339097249847722E35,2.3350174569521105E34,2.3350174569521104E40,1.858826948468813E38,1.277245831536832E35,8.931729417565863E33,8.931729417565862E39,1.4160372556569964E39,9.729941152287414E35,6.8041092384308245E34,6.804109238430823E40,9.844656961441516E38,6.764506549288494E35,4.730392587689936E34,4.730392587689935E40,5.418364186981145E38,3.723091639741328E35,2.6035432100771914E34,2.6035432100771914E40,9.07,0.02,irc2EQW2.dat,0.2753016,0.0438542,1.0173677,0.0634875,1.319773,0.188573,1.1658477,0.0773011,0.890209,0.0547502,0.3151816,0.0369399,0.6952267,0.0384444,0.0690304,0.0106626,0.6554239,0.0170119,0.9271683,0.0334348,0.354216,0.0232263,0.7855039,0.0422756,0.0607333,0.0217131,,,0.2698343,0.0128729,0.9374752,0.0572323,0.1218094,0.0100345,,,0.8462372235953808,0.04752562566281829,1.5825921893119812,0.03751387249292639,3.3758296370506287,0.21102801206363128,1.3291189149022102,0.05951419235155856,irc2PAH.dat,2.706279E-16,3.3362977E-17,1.1013532E-15,2.9922342E-17,1.4660651E-15,1.6732385E-16,1.2877974E-15,7.874616E-17,9.662968E-16,5.072363E-17,3.2695856E-16,3.671624E-17,6.997312E-16,2.9138056E-17,5.3268694E-17,8.251581E-18,4.712781E-16,1.0941777E-17,6.5824434E-16,1.8051604E-17,2.3180065E-16,1.395196E-17,4.770819E-16,2.3796762E-17,3.6594947E-17,1.1930644E-17,,,1.0849467E-16,4.4318997E-18,3.553679E-16,1.7826291E-17,4.469875E-17,3.837804E-18,,,5.136768408119679E-16,2.6620032532033807E-17,1.1295224130153656E-15,2.1108834460334372E-17,3.72015929222107E-15,1.91757963520559E-16,5.085613168776036E-16,1.8765583344383587E-17,irc2_ato_Line.dat,4.7807244E-17,,6.1203285E-17,,1.812889E-17,,2.167376E-17,3.683013E-18,1.02323E-17,,3.0526414E-18,1.6340578E-18,1.2370696863150883E39,8.500210853237651E35,5.944163719996138E34,5.944163719996138E40
Region 3,10.155708,41.024834,irc3,1649.38,4.769697E-5,2.891812E-8,2.0222326E-9,0.0020222326,3665063.8326416016,2222.0857732248487,155.38957637611708,1.5538957637611705E8,3.1039471633008624E39,1.8818872323544983E36,1.3159962740718147E35,1.3159962740718145E41,5.742659511601774E38,3.4817079821519444E35,2.4347445761590364E34,2.434744576159036E40,1.8953750088521665E38,1.1491439261129432E35,8.035917876146249E33,8.035917876146247E39,9.850550754136024E38,5.9722748876159666E35,4.176388130335515E34,4.176388130335514E40,9.459615754142507E38,5.73525552276765E35,4.010641429013245E34,4.0106414290132447E40,4.6983630892295565E38,2.8485631505350837E35,1.9919889077903492E34,1.991988907790349E40,8.85,0.01,irc3EQW2.dat,4.275975,2.33814,8.323796,2.26052,10.7515955,3.61945,7.7915554,2.0963,,,2.8393257,0.785766,0.9312248,0.468654,,,1.2498924,0.182776,0.8907604,0.25708,0.6915593,0.197783,1.6039088,0.260365,,,,,0.3311265,0.0526768,1.9208894,0.292926,0.1691415,0.0464073,,,1.6039087772369385,0.26036500930786133,2.1406527757644653,0.31543174898106774,18.543150901794434,4.1826895875449575,2.4211573898792267,0.3012210687798852,irc3PAH.dat,2.9008578E-16,1.3034952E-16,8.8569947E-16,1.0854016E-16,2.2164085E-15,5.165026E-16,1.6810628E-15,2.7256615E-16,,,7.45005E-16,1.3347602E-16,2.5831972E-16,1.0942553E-16,,,3.9718627E-16,3.4639283E-17,2.818293E-16,6.536745E-17,2.1144716E-16,5.096304E-17,4.686724E-16,7.2320374E-17,,,,,6.391863E-17,8.814613E-18,3.522273E-16,3.6430278E-17,3.0109642E-17,8.011037E-18,,,4.686723947525025E-16,7.232037186622621E-17,6.790155768394471E-16,7.397826628576271E-17,3.897471308708191E-15,5.840095839578052E-16,4.462555702775717E-16,3.83280468546227E-17,irc3_ato_Line.dat,1.511569E-16,,9.341926E-17,2.1998466E-17,1.0175114E-16,,3.0746403E-17,1.1737842E-17,1.9721023E-17,3.9611082E-18,1.5236657E-17,3.2529852E-18,1.0155049408137599E39,6.156888896517236E35,4.305487974193621E34,4.3054879741936205E40
Region 4,10.324417,41.11939,irc4,1649.38,3.2688684E-5,1.981877E-8,1.3859188E-9,0.0013859188,6932195.3671875,4202.909800766045,293.9078146116106,2.939078146116106E8,3.1435003426840604E39,1.905867867128291E36,1.3327658368116098E35,1.3327658368116095E41,4.100946656301007E38,2.4863564832246096E35,1.738699222611826E34,1.7386992226118257E40,1.5688385694869348E38,9.51168663065476E34,6.651484717508523E33,6.651484717508523E39,9.130682565417917E38,5.5358271383295035E35,3.871181951127099E34,3.871181951127099E40,1.195604895237592E39,7.248814070969649E35,5.0690669158216735E34,5.069066915821673E40,8.894141669433847E38,5.392415131403222E35,3.7708945037565033E34,3.770894503756503E40,8.89,0.06,irc4EQW2.dat,0.2805726,0.0930555,1.0199211,0.13594,1.2597021,0.358553,1.39161,0.15797,1.0131236,0.120085,0.4846458,0.073271,0.7683488,0.0742847,0.0654075,0.0185522,0.7252986,0.0287557,0.9435712,0.0528965,0.3076964,0.0375862,0.8190392,0.0642792,,,,,0.2231063,0.0159656,1.269744,0.076551,0.1594094,0.0200597,,,0.8190392255783081,0.06427919864654541,1.6688697934150696,0.060207391310390615,3.6644357442855835,0.40979894524444427,1.652259737253189,0.08073008834648103,irc4PAH.dat,1.3869451E-16,3.664466E-17,5.571926E-16,3.2542725E-17,7.180664E-16,1.7721288E-16,7.90367E-16,7.441412E-17,5.685922E-16,4.8940882E-17,2.630181E-16,3.5716617E-17,4.0788064E-16,2.8924623E-17,2.8872193E-17,8.120061E-18,3.0579237E-16,9.311461E-18,3.945206E-16,1.7904746E-17,1.2206801E-16,1.4147053E-17,3.0958702E-16,2.2800421E-17,,,,,6.181607E-17,4.350943E-18,3.328121E-16,1.7830171E-17,4.0531016E-17,5.363963E-18,,,3.095870316028595E-16,2.2800421342253687E-17,7.003129720687866E-16,2.0181258936805486E-17,2.077025592327118E-15,1.9833576472696026E-16,4.351591840386391E-16,1.9121134694074982E-17,irc4_ato_Line.dat,3.9501587E-17,,3.5335382E-17,,1.5572487E-17,,2.0798722E-17,,1.1148887E-17,,4.4971308E-18,1.6700828E-18,1.9207519897054883E39,1.1645296958284253E36,8.143509953244135E34,8.143509953244134E40
Region 5,10.914875,41.317528,irac5,1552.36,2.6295154E-5,1.6938825E-8,1.1845254E-9,0.0011845253,1.1917977135009766E7,7677.328155202251,536.8725114539487,5.368725114539486E8,2.4285740566056145E39,1.5644399859604825E36,1.0940066743303852E35,1.094006674330385E41,3.500459779908229E38,2.25492783884423E35,1.5768620899282564E34,1.5768620899282562E40,1.201074630855285E38,7.737088245350854E34,5.410515108446487E33,5.410515108446487E39,8.641466586989064E38,5.566664038618017E35,3.8927460731350025E34,3.892746073135002E40,1.0698796698615076E39,6.891955924279855E35,4.819517429889736E34,4.819517429889736E40,1.483991525853911E39,9.559583639451615E35,6.684978905700123E34,6.684978905700122E40,8.93,0.08,irc5EQW2.dat,,,0.1238941,0.0280414,,,0.4534001,0.057171,0.1553972,0.0483474,0.1043581,0.0328187,0.1974591,0.0284469,0.0481384,0.0119817,0.3032519,0.0165332,0.4651474,0.0327939,0.1710958,0.0263677,0.4991731,0.0354053,,,,,0.1299247,0.0478519,1.3188822,0.227181,0.1059469,0.0458855,,,0.499173104763031,0.03540530055761337,0.7683992981910706,0.03672583139283922,0.6087973117828369,0.07487318613717157,1.5547538250684738,0.23665690660456806,irc5PAH.dat,,,2.3830012E-16,3.6999726E-17,,,5.97188E-16,5.417241E-17,1.9287327E-16,4.760876E-17,1.1595779E-16,3.527446E-17,2.0599456E-16,2.847432E-17,3.188717E-17,8.051762E-18,1.7858802E-16,9.148348E-18,2.6816004E-16,1.74293E-17,8.5926854E-17,1.36126524E-17,2.2063662E-16,1.37952286E-17,,,,,2.984311E-17,1.06485905E-17,2.799859E-16,3.9986602E-17,2.152817E-17,9.516744E-18,,,2.2063662111759188E-16,1.379522867500782E-17,4.467480629682541E-16,1.9684327769976885E-17,7.900612652301789E-16,7.211964869885183E-17,3.313571866601706E-16,4.246044408181462E-17,irc5_ato_Line.dat,4.4386068E-17,,2.1747736E-17,,1.8431998E-17,,1.4823093E-17,,8.7667645E-18,3.783116E-18,7.706285E-18,3.9654455E-18,3.302197511879806E39,2.1272111571283764E36,1.4875503211967184E35,1.4875503211967182E41
Region 6,10.898833,41.3875,irc6,1455.34,3.5488258E-5,2.4384857E-8,1.7052234E-9,0.0017052235,1.5100239267578125E7,10375.746744800614,725.5718526655178,7.255718526655177E8,3.3369147925823904E39,2.2928764361471482E36,1.6033993934384194E35,1.6033993934384192E41,6.0839402607183926E38,4.180425371884503E35,2.9233548742196697E34,2.9233548742196698E40,1.1921594081585298E38,8.191621257977723E34,5.728368240544745E33,5.728368240544744E39,8.223180564660877E38,5.650350134443414E35,3.9512674278710407E34,3.9512674278710403E40,1.5399219934264157E39,1.0581183733192353E36,7.399379797443338E34,7.399379797443337E40,1.8781425088740755E39,1.2905180293773796E36,9.024541370410945E34,9.024541370410943E40,8.73,0.08,irc6EQW2.dat,,,0.1043786,0.0389147,0.3864221,0.200517,0.192573,0.0781935,,,0.1003141,0.0393451,0.1364983,0.0343893,0.0517969,0.014791,0.2834219,0.0194629,0.4882738,0.0420094,0.1536441,0.0330606,0.4167832,0.0518095,,,,,0.1579124,0.0215601,1.4143072,0.135913,0.1156399,0.0226516,,,0.4167832136154175,0.05180950090289116,0.7716957032680511,0.04629896364492432,0.57899509370327,0.21522381452082215,1.6878595426678658,0.13946424758360793,irc6PAH.dat,,,2.5570869E-16,3.3411708E-17,5.381169E-16,1.6060507E-16,2.4810347E-16,7.334363E-17,,,1.0022126E-16,3.412537E-17,1.251804E-16,2.7084333E-17,2.8816514E-17,7.638303E-18,1.4112816E-16,9.410294E-18,2.383858E-16,1.7626792E-17,6.604057E-17,1.3574042E-17,1.5911957E-16,1.4943046E-17,,,,,3.013778E-17,4.0133993E-18,2.4480843E-16,1.44499E-17,1.8942694E-17,3.6622094E-18,,,1.5911957621574402E-16,1.4943046495318413E-17,3.795139640569687E-16,1.9981427173424058E-17,7.862203866243363E-16,1.7655955683446407E-16,2.938888929784298E-16,1.543757628003929E-17,irc6_ato_Line.dat,2.459191E-17,1.0894176E-17,1.4107703E-17,6.986734E-18,1.3513569E-17,,1.2103434E-17,,1.9103587E-17,1.591654E-18,1.8817135E-17,1.6910062E-18,4.1839291972883225E39,2.8748809194334814E36,2.0103928191495025E35,2.0103928191495022E41
Region 7,10.224916,40.98303,irc7,1455.34,2.312202E-5,1.5887709E-8,1.1110213E-9,0.0011110213,1.6173378621582031E7,11113.127256573744,777.1365792539709,7.771365792539709E8,2.1816747912915973E39,1.4990825451726727E36,1.0483024753322248E35,1.0483024753322247E41,4.489004093298204E38,3.0845054030660907E35,2.1569823887432112E34,2.156982388743211E40,1.0637376520303763E38,7.309203705184881E34,5.111297147396375E33,5.1112971473963744E39,7.574673839916751E38,5.2047451728920745E35,3.6396576464625175E34,3.639657646462517E40,1.6724542701674066E39,1.1491845686694565E36,8.0362020879312085E34,8.036202087931208E40,2.110561378634905E39,1.4502187658106732E36,1.0141322283206624E35,1.0141322283206624E41,8.4,0.08,irc7EQW2.dat,0.3178853,0.0525256,0.8649487,0.0649788,,,1.3721379,0.110685,0.8561091,0.0794874,0.4449594,0.0563059,0.6928067,0.0594387,0.123683,0.0186277,0.8192244,0.0328963,0.9942182,0.0583838,0.4846523,0.0472517,1.0769557,0.0905898,,,,,0.310727,0.0463263,1.6670916,0.251051,0.2416807,0.060148,,,1.0769556760787964,0.09058979898691177,1.813442587852478,0.0670136896103253,2.2282469868659973,0.13626964203115968,2.2194993048906326,0.26227946330453494,irc7PAH.dat,2.0810628E-16,3.186016E-17,6.2271983E-16,3.0204808E-17,3.8856522E-16,1.6463141E-16,9.974208E-16,7.5663726E-17,6.0932104E-16,4.8435958E-17,3.0020928E-16,3.5347443E-17,4.5087315E-16,2.8339697E-17,5.7914905E-17,8.089561E-18,3.5038323E-16,9.2027185E-18,4.1836696E-16,1.7486386E-17,1.8378357E-16,1.4350115E-17,3.7186607E-16,2.6023327E-17,,,,,6.90546E-17,9.468015E-18,3.516681E-16,3.694049E-17,4.9541005E-17,1.1909524E-17,,,3.7186607718467714E-16,2.6023326441645626E-17,7.687501907348634E-16,1.9760155047230156E-17,1.995307058095932E-15,1.875487735853521E-16,4.702636897563934E-16,3.99509674442432E-17,irc7_ato_Line.dat,4.065966E-17,,4.4450995E-17,,7.982123E-18,3.3180611E-18,3.4972564E-17,5.331136E-18,1.01437944E-17,,2.6751691E-17,4.21967E-18,4.481271445485374E39,3.079192110081063E36,2.153266824042451E35,2.1532668240424508E41
Region 8,10.59,41.1215,irc8,1649.38,8.1992104E-5,4.9710863E-8,3.4762608E-9,0.003476261,3597715.281555176,2181.2531263597084,152.53416558363378,1.5253416558363375E8,7.247370066421269E39,4.3939965723006636E36,3.0727043671991556E35,3.072704367199155E41,1.2285713982495107E39,7.4486861623732E35,5.208836676228053E34,5.208836676228052E40,3.544139091973122E38,2.1487705028393225E35,1.502626686102778E34,1.5026266861027776E40,1.756984271045164E39,1.0652392238569425E36,7.449175622691169E34,7.449175622691169E40,8.960804041907363E38,5.432831756118882E35,3.7991576890430216E34,3.799157689043021E40,5.080117323941562E38,3.0800163236740843E35,2.15384319333749E34,2.1538431933374898E40,8.94,0.08,irc8EQW2.dat,,,,,,,,,0.0965734,0.047413,0.0875577,0.0401219,0.09663,0.0324371,0.0871656,0.0150969,0.1389737,0.017583,0.1659642,0.0335066,,,,,,,,,0.0489595,0.0182559,0.4808602,0.0790612,0.0890508,0.0175427,,,0.0,,0.3049378991127014,0.03783984677723273,0.09657339751720428,0.04741299897432327,0.6188705042004585,0.08301625130122724,irc8PAH.dat,,,9.452572E-17,3.659847E-17,,,9.95471E-17,5.1719018E-17,1.1905505E-16,4.6566123E-17,9.334204E-17,3.5759984E-17,9.501829E-17,2.843384E-17,5.089922E-17,9.116437E-18,7.218886E-17,9.633632E-18,8.4485786E-17,1.7070707E-17,,,,,,,,,1.2180567E-17,4.5510787E-18,1.1330449E-16,1.662717E-17,2.0364907E-17,3.8086795E-18,,,,,1.5667464584112167E-16,1.9601425714591003E-17,2.1860213577747348E-16,6.95935370873963E-17,1.4584995433688165E-16,1.765449353431746E-17,irc8_ato_Line.dat,4.1745112E-17,,1.6653404E-17,5.9146532E-18,1.7158648E-17,,9.230338E-18,,4.082509E-17,1.817727E-18,2.2805922E-17,1.6386063E-18,9.968442079955264E38,6.043751033694639E35,4.226371115663949E34,4.226371115663949E40
Region 9,10.25,40.60564,isocvf,1649.38,3.1963995E-5,1.93794E-8,1.3551937E-9,0.0013551937,5639585.381103516,3419.215330065549,239.1043712532012,2.391043712532012E8,3.145777328078771E39,1.907248377013648E36,1.333731221896441E35,1.3337312218964408E41,4.200911887434701E38,2.5469642456163535E35,1.7810819903548084E34,1.7810819903548082E40,1.567978039665423E38,9.50646933796592E34,6.647836285433949E33,6.647836285433948E39,8.774872696745799E38,5.320103733976281E35,3.7203274304745827E34,3.720327430474582E40,1.0006565876447044E39,6.0668650501685744E35,4.242534655665482E34,4.242534655665481E40,7.089435778305199E38,4.298242841737622E35,3.0057441633766436E34,3.0057441633766434E40,8.86,0.02,isocvfEQW2.dat,,,237.05257,105.544,62.469147,28.1482,81.43203,29.8655,,,15.531236,5.61229,7.9449453,2.81043,0.5109348,0.233135,2.801418,0.555996,3.9615703,0.950583,2.2992854,0.567473,3.4560876,0.753547,,,,,0.313107,0.134424,1.9283081,0.750117,,,,,3.456087589263916,0.7535470128059387,6.762988328933716,1.1012445490643188,143.90117645263672,41.03984858281466,2.2414151430130005,0.76206648765414,isocvfPAH.dat,,,1.3470765E-15,1.0176353E-16,1.8257628E-15,5.2150246E-16,2.544693E-15,2.823522E-16,,,8.727343E-16,1.366942E-16,5.414596E-16,1.0631102E-16,8.563244E-17,2.6546195E-17,5.3912546E-16,3.3791738E-17,7.7707755E-16,6.212777E-17,5.082482E-16,4.7333025E-17,8.33148E-16,7.353931E-17,,,,,8.568921E-17,3.2173693E-17,5.2162586E-16,1.2893843E-16,,,,,8.331480026245117E-16,7.353930920362473E-17,1.316202998161316E-15,7.072298838659419E-17,4.370455741882324E-15,5.930325116769628E-16,6.073150858283043E-16,1.3289192262645312E-16,isocvf_ato_Line.dat,8.5802035E-17,3.531148E-17,1.226847E-16,2.9105756E-17,9.447873E-17,,1.3363963E-16,1.2119496E-17,4.3952424E-17,,5.382968E-17,1.9661294E-17,1.5625994772671292E39,9.473859736792789E35,6.6250325207316845E34,6.625032520731684E40
