PUB_ID,RADEG,DECDEG,PAH6.2flx,PAH7.7flx,PAH8.3flx,PAH8.6flx,PAH11.3flx,PAH12.0flx,PAH12.7flx,PAH17.0flx,irac3,pacs100,spire250,spire350,spire500,SFR,Stellar.Mass
Region 1,10.3767083333333,40.7188333333333,5.58272352741475E-20,1.75347525029463E-19,2.12056648930187E-20,2.31171143503459E-20,5.47752591784003E-20,1.49924310312478E-20,2.51123500573418E-20,2.71693335908375E-20,4.53389451381763E-19,1.16808798041546E-18,1.08343717160357E-17,3.9509933985038E-18,2.76569537895266E-18,1.90850919685467E-9,107.716638409285
Region 2,11.3452083333333,41.6480833333333,5.12133847012254E-20,1.72988963923977E-19,1.5203709867678E-20,3.25377936279207E-20,5.25232648948696E-20,1.07788272303963E-20,2.38861880644769E-20,2.36483140607523E-20,5.9555311360808E-19,9.55304949798555E-19,8.32314860981489E-18,2.84656163299085E-18,1.9925931430936E-18,1.92641775182181E-9,135.18787664011
Region 3,10.1557083333333,41.0248333333333,3.98983563624652E-20,1.75570500439978E-19,3.35604524882671E-20,1.16366020225938E-20,3.05878081426481E-20,9.52512045819695E-21,2.11124188920259E-20,2.010260181331E-20,5.46659164370274E-19,5.77964063479467E-19,5.25240695496234E-18,1.65348776742948E-18,1.15744143720064E-18,1.54280986843307E-9,134.780417814997
Region 4,10.3244166666667,41.1193888888889,2.51000137973759E-20,9.35643636058941E-20,1.18482512850307E-20,1.83739153960094E-20,3.15471979732104E-20,5.49883242386603E-21,1.39460552145172E-20,1.96027397410243E-20,7.08557787035429E-19,8.45010455849948E-19,5.83853730776407E-18,1.83756526801654E-18,1.28629568761158E-18,1.24267787312499E-9,291.013186075003
Region 5,10.914875,41.3175277777778,1.04094853621892E-20,3.45116535218122E-20,5.06529714561962E-21,8.99830582129213E-21,1.95149604710834E-20,3.75347829842458E-21,9.63790399218627E-21,1.44744273909524E-20,6.11371059012409E-19,6.04044065073161E-19,3.70391661984508E-18,1.06834477059732E-18,7.47841339418126E-19,1.06893778644599E-9,296.956826352093
Region 6,10.8988333333333,41.3875,1.13417356268321E-20,3.48721186187257E-20,4.44522646104833E-21,5.55226731817794E-21,1.68330104347459E-20,2.9291718071267E-21,7.05760983912018E-21,1.30351851860166E-20,8.97495800458551E-19,1.21505815650733E-18,5.5368807992569E-18,1.57567018337616E-18,1.10296912836332E-18,1.95457073240988E-9,490.713033618777
Region 7,10.2249166666667,40.9830277777778,2.80518375960118E-20,8.98831655126242E-20,1.35236129663249E-20,2.0310611242623E-20,3.46301088603481E-20,8.2789508380603E-21,1.67515571242537E-20,2.1184102411429E-20,5.84266337587519E-19,1.16600491901595E-18,5.18215444336722E-18,1.800674827926E-18,1.2604723795482E-18,1.22432791857428E-9,210.019744476534
Region 8,10.59,41.1215,4.25812703938798E-21,9.84743269051029E-21,4.20480546919541E-21,4.28031598051206E-21,7.05776740809396E-21,4.50472849018022E-65,4.50472849018022E-65,6.57014444592834E-21,9.80310167533949E-19,7.90930808899217E-19,3.54915021159604E-18,1.17137859295966E-18,8.19965015071762E-19,1.09331349643766E-9,932.299419178826
Region 9,10.25,40.6056388888889,5.97484017149292E-20,1.93847747580263E-19,3.87093676912911E-20,2.40159676849866E-20,5.83790345036355E-20,2.25429050425048E-20,3.69535520431098E-20,2.69369302453174E-20,5.27002835836587E-19,1.5634999990605E-18,1.04711671543733E-17,3.54508886637201E-18,2.4815622064604E-18,3.46344994417672E-9,119.596134496535
Region 10,10.6458333333333,41.3502777777778,6.69636926420884E-20,3.90612144554794E-19,5.71614191530203E-20,3.52131085384156E-20,9.35901124168845E-20,2.45551529095988E-20,5.14064384856394E-20,7.01164664275083E-20,2.00366066160968E-18,3.02346991493464E-18,1.4356009526167E-17,4.04953420068239E-18,2.83467394047768E-18,3.42135743985552E-9,1382.6921244074
