PUB_ID,RADEG,DECDEG,halpha,OIII_cont,SII_cont,irac3,pacs100,spire250,spire350,spire500,dust.lum,dust.Mass,SFR,Stellar.Mass,TIR,total.gas,RHI,X12plogOH
Region 1,10.3767083333333,40.7188333333333,3.75316904363479E-20,7.60475592680311E-19,3.8884428440983E-19,4.53389451381763E-19,1.16808798041546E-18,1.08343717160357E-17,3.9509933985038E-18,2.76569537895266E-18,624.881980799116,5.75035977624665,1.90850919685467E-9,107.716638409285,8.14222066470412E34,132.745384283755,6.33929661824037E-5,4.27803850073958E-4
Region 2,11.3452083333333,41.6480833333333,2.62788724007082E-20,1.99209871974188E-18,3.64261392027639E-18,5.9555311360808E-19,9.55304949798555E-19,8.32314860981489E-18,2.84656163299085E-18,1.9925931430936E-18,476.603753325059,3.38809920935903,1.92641775182181E-9,135.18787664011,7.23106619886461E34,18.3748904939148,3.73509460895438E-5,4.21758795670739E-4
Region 3,10.1557083333333,41.0248333333333,6.0447713592437E-20,-1.99412915725607E-18,-2.08383703116323E-18,5.46659164370274E-19,5.77964063479467E-19,5.25240695496234E-18,1.65348776742948E-18,1.15744143720064E-18,338.094746305113,1.76027412524156,1.54280986843307E-9,134.780417814997,5.72918048875339E34,94.4982118511389,-1.72147827228909E-5,3.98668471380949E-4
Region 4,10.3244166666667,41.1193888888889,4.47165509862096E-20,5.97758786779131E-19,3.41490880872732E-18,7.08557787035429E-19,8.45010455849948E-19,5.83853730776407E-18,1.83756526801654E-18,1.28629568761158E-18,337.009124315167,1.81178652436181,1.24267787312499E-9,291.013186075003,5.72645397724743E34,26.5993207938733,4.504728E-35,4.00470362777021E-4
Region 5,10.914875,41.3175277777778,8.52244248847142E-20,1.04841897301462E-17,1.90273889727813E-17,6.11371059012409E-19,6.04044065073161E-19,3.70391661984508E-18,1.06834477059732E-18,7.47841339418126E-19,245.701816888826,0.970768048094221,1.06893778644599E-9,296.956826352093,4.45669618272678E34,42.3872105295575,2.3594742524038E-5,3.90082490450907E-4
Region 6,10.8988333333333,41.3875,1.1728145150915E-19,1.28910338523891E-17,2.40420198060044E-17,8.97495800458551E-19,1.21505815650733E-18,5.5368807992569E-18,1.57567018337616E-18,1.10296912836332E-18,355.404190468597,1.50527208302362,1.95457073240988E-9,490.713033618777,7.80363338059349E34,75.0378289132754,1.51032114944318E-5,3.87211525827473E-4
Region 7,10.2249166666667,40.9830277777778,5.39075695434087E-20,7.49274735618364E-19,2.95910295161891E-18,5.84266337587519E-19,1.16600491901595E-18,5.18215444336722E-18,1.800674827926E-18,1.2604723795482E-18,390.233746037014,1.62930731135378,1.22432791857428E-9,210.019744476534,5.96851207398645E34,11.5132337114267,-5.39972368416043E-6,3.78397193175138E-4
Region 8,10.59,41.1215,1.1033927607678E-19,1.64240362424307E-17,2.83395140760403E-17,9.80310167533949E-19,7.90930808899217E-19,3.54915021159604E-18,1.17137859295966E-18,8.19965015071762E-19,397.133638818751,0.854621302830236,1.09331349643766E-9,932.299419178826,4.75365279852068E34,71.6039020790669,2.61381801069296E-5,4.02722727022111E-4
Region 9,10.25,40.6056388888889,2.13700284669024E-19,2.16218054900344E-18,1.64709884860708E-18,5.27002835836587E-19,1.5634999990605E-18,1.04711671543733E-17,3.54508886637201E-18,2.4815622064604E-18,676.251509144391,3.86632353830455,3.46344994417672E-9,119.596134496535,1.30484559140818E35,53.6067446428371,1.35958897988006E-5,3.92977562294549E-4
Region 10,10.6458333333333,41.3502777777778,9.4071964830423E-20,1.42840381102962E-17,3.13929660420393E-17,2.00366066160968E-18,3.02346991493464E-18,1.4356009526167E-17,4.04953420068239E-18,2.83467394047768E-18,813.330106306865,2.39011178807485,3.42135743985552E-9,1382.6921244074,2.23301746590912E35,135.124806018874,-2.85665352418593E-5,4.50156703300915E-4
