PUB_ID,RADEG,DECDEG,PAH6.2flx,PAH7.7flx,PAH8.6flx,PAH11.3flx,PAH12.7flx,halpha,SII_cont,irac3,pacs100,spire250,spire350,spire500,dust.lum,dust.Mass,SFR,TIR,total.gas,RHI
Region 1,10.3767083333333,40.7188333333333,7.98334792810634E-19,2.50748634383975E-18,3.30576941606301E-19,7.83291434236347E-19,3.5910900265018E-19,5.3670675542498E-19,5.56051038002367E-18,6.48351242818937E-18,1.67037696072584E-17,1.54932549618128E-16,5.64995826983281E-17,3.95497078888297E-17,8935.87196683866,82.2306936392807,2.72918636713097E-8,1.16434532633665E36,1898.27166504543,9.06525466904444E-4
Region 2,11.3452083333333,41.6480833333333,7.32356289252198E-19,2.47375869492013E-18,4.65293554425581E-19,7.51087701041884E-19,3.41574769122063E-19,3.75790383498206E-19,5.20897267266185E-17,8.51646636673421E-18,1.36609519605133E-17,1.19021819517287E-16,4.07061030397973E-17,2.84942721278581E-17,6815.47916165085,48.4501420685268,2.75479577166088E-8,1.03404936807677E36,262.762687841191,5.34122094014666E-4
Region 3,10.1557083333333,41.0248333333333,5.70550304053184E-19,2.51067491349184E-18,1.66404519570203E-19,4.3740857587122E-19,3.01909605215609E-19,8.64408073760404E-19,1.7841898786364E-16,7.81727822598576E-18,8.26494127112079E-18,7.51099207681662E-17,2.36450328901925E-17,1.65515230231347E-17,4834.78714137306,25.1720879990523,2.20623283709714E-8,8.19278278066852E35,1351.33344878516,-2.46173035989898E-4
Region 4,10.3244166666667,41.1193888888889,3.58932592955242E-19,1.33797932974769E-18,2.62748743848077E-19,4.51127942016534E-19,1.99429920638808E-19,6.3945094704185E-19,4.88335218983163E-17,1.01324439823951E-17,1.20837301700696E-17,8.3491640756021E-17,2.62773587177322E-17,1.83941511024125E-17,4819.26264330042,25.9087202230358,1.77704121921834E-8,8.18888384319201E35,380.372826105433,2.05217410909841E-4
Region 5,10.914875,41.3175277777778,1.48856634205151E-19,4.93519939301866E-19,1.28676632081306E-19,2.79065797327862E-19,1.37822946971079E-19,1.21871741003536E-18,2.7209347836623E-16,8.74266449574854E-18,8.63788778309762E-18,5.29663611814429E-17,1.52774321869401E-17,1.06942025308581E-17,3513.55943234343,13.8820757420056,1.52859123701761E-8,6.37311807791552E35,606.1411561895,3.37407070076976E-4
Region 6,10.8988333333333,41.3875,1.621879019675E-19,4.98674624592062E-19,7.9397952582106E-20,2.40713655831442E-19,1.00924494307914E-19,1.67713595042464E-18,3.43803177899155E-16,1.28342756073986E-17,1.73754476084067E-17,7.917792389298E-17,2.25322340109867E-17,1.57725638076907E-17,5082.31384499832,21.5255344568493,2.79505480260592E-8,1.11592702154663E36,1073.04811539146,2.15977365885534E-4
Region 7,10.2249166666667,40.9830277777778,4.01143955010436E-19,1.28533784566462E-18,2.90443679301193E-19,4.95213861948816E-19,2.39548865717151E-19,7.70883389639954E-19,4.23154546376037E-17,8.35506439238197E-18,1.6673981630429E-17,7.41053031471555E-17,2.57498219034558E-17,1.80248753324191E-17,5580.37981390857,23.2992500604237,1.750800609071E-8,8.53502923183491E35,164.640340945714,-7.72165640562381E-5
Region 8,10.59,41.1215,6.08916230771213E-20,1.40819227355429E-19,6.12089270530032E-20,1.00926747559279E-19,3.17302043340462E-19,1.57786217915081E-18,4.05257756131918E-16,1.40185289607345E-17,1.13103860570811E-17,5.07531867719131E-17,1.67508256807106E-17,1.17255779764974E-17,5679.04893924272,12.2211661991881,1.56344873495789E-8,6.79776887278187E35,1023.9426339136,3.73778470268897E-4
Region 9,10.25,40.6056388888889,8.54407847166724E-19,2.77204129205663E-18,3.43430630082074E-19,8.34825765346955E-19,5.28439321221672E-19,3.05593446723703E-18,2.35536707412464E-17,7.53619085186989E-18,2.23581992136982E-17,1.49738689720558E-16,5.06951091475772E-17,3.5486576403304E-17,9670.46112510378,55.2887956162248,4.95276647682164E-8,1.86594164971861E36,766.581564849765,1.94422521772773E-4
Region 10,10.6458333333333,41.3502777777778,9.57587196083354E-19,5.5857909488288E-18,5.03550812989166E-19,1.33834754020243E-18,7.35116976795198E-19,1.34523807570608E-18,4.48922410680231E-16,2.86525386989694E-17,4.32359083564772E-17,2.05292306423194E-16,5.7908725574638E-17,4.05361079022466E-17,11630.6981478953,34.1788266919713,4.89257379389345E-8,3.19323628912467E36,1932.29762295985,-4.08504180471002E-4
