Region 9,10.25,40.60564,8.86,4.591955E-21,2.2606265E-21,3.3657923E-21,4.366856E-21,8.729273E-22,1.3470765E-15,1.8257628E-15,2.544693E-15,1E-30,8.727343E-16,5.414596E-16,8.563244E-17,5.3912546E-16,7.7707755E-16,5.082482E-16,8.33148E-16,8.568921E-17,5.2162586E-16,1E-30,8.331480026245117E-16,1.316202998161316E-15,4.370455741882324E-15,6.073150858283043E-16,8.5802035E-17,1.226847E-16,9.447873E-17,1.3363963E-16,4.3952424E-17,5.382968E-17
Region 1,10.376708,40.718834,9.2,2.7033284E-21,1.4269202E-21,2.5177183E-21,7.172054E-21,1.2842542E-21,1.2005749E-15,1.4107878E-15,1.2793633E-15,1.0807294E-15,4.560317E-16,4.9713777E-16,7.8372405E-17,4.914503E-16,6.865016E-16,3.2241497E-16,5.4004565E-16,9.371862E-17,4.5206143E-16,3.8501452E-17,5.400456786155701E-16,1.1779519617557527E-15,3.770880579948425E-15,5.842814855277539E-16,5.3699014E-17,5.783712E-17,2.0269528E-17,1.9650609E-17,1.4860955E-17,7.823066E-18
Region 7,10.224916,40.98303,8.4,1.3183354E-20,6.7498136E-21,5.6317384E-21,3.7595448E-21,4.89022E-22,6.2271983E-16,3.8856522E-16,9.974208E-16,6.0932104E-16,3.0020928E-16,4.5087315E-16,5.7914905E-17,3.5038323E-16,4.1836696E-16,1.8378357E-16,3.7186607E-16,6.90546E-17,3.516681E-16,4.9541005E-17,3.7186607718467714E-16,7.687501907348634E-16,1.995307058095932E-15,4.702636897563934E-16,4.065966E-17,4.4450995E-17,7.982123E-18,3.4972564E-17,1.01437944E-17,2.6751691E-17
Region 3,10.155708,41.024834,8.85,2.9810678E-21,1.5022745E-21,3.1935268E-21,4.901868E-21,1.1197235E-21,8.8569947E-16,2.2164085E-15,1.6810628E-15,1E-30,7.45005E-16,2.5831972E-16,1E-30,3.9718627E-16,2.818293E-16,2.1144716E-16,4.686724E-16,6.391863E-17,3.522273E-16,3.0109642E-17,4.686723947525025E-16,6.790155768394471E-16,3.897471308708191E-15,4.462555702775717E-16,1.511569E-16,9.341926E-17,1.0175114E-16,3.0746403E-17,1.9721023E-17,1.5236657E-17
Region 4,10.324417,41.11939,8.89,5.647364E-21,2.8378079E-21,4.0283498E-21,4.540373E-21,8.68357E-22,5.571926E-16,7.180664E-16,7.90367E-16,5.685922E-16,2.630181E-16,4.0788064E-16,2.8872193E-17,3.0579237E-16,3.945206E-16,1.2206801E-16,3.0958702E-16,6.181607E-17,3.328121E-16,4.0531016E-17,3.095870316028595E-16,7.003129720687866E-16,2.077025592327118E-15,4.351591840386391E-16,3.9501587E-17,3.5335382E-17,1.5572487E-17,2.0798722E-17,1.1148887E-17,4.4971308E-18
Region 8,10.59,41.1215,8.94,2.9255197E-21,1.619314E-21,3.0212622E-21,8.733712E-21,1.7275734E-21,9.452572E-17,1E-30,9.95471E-17,1.1905505E-16,9.334204E-17,9.501829E-17,5.089922E-17,7.218886E-17,8.4485786E-17,1E-30,,1.2180567E-17,1.1330449E-16,2.0364907E-17,1E-30,1.5667464584112167E-16,2.1860213577747348E-16,1.4584995433688165E-16,4.1745112E-17,1.6653404E-17,1.7158648E-17,9.230338E-18,4.082509E-17,2.2805922E-17
Region 5,10.914875,41.317528,8.93,9.720872E-21,4.745712E-21,3.6043127E-21,4.294557E-21,6.4898256E-22,2.3830012E-16,1E-30,5.97188E-16,1.9287327E-16,1.1595779E-16,2.0599456E-16,3.188717E-17,1.7858802E-16,2.6816004E-16,8.5926854E-17,2.2063662E-16,2.984311E-17,2.799859E-16,2.152817E-17,2.2063662111759188E-16,4.467480629682541E-16,7.900612652301789E-16,3.313571866601706E-16,4.4386068E-17,2.1747736E-17,1.8431998E-17,1.4823093E-17,8.7667645E-18,7.706285E-18
Bulge,10.645833,41.350277,8.9,1.849743E-20,9.507458E-21,1.02298864E-20,1.1958243E-20,2.1251896E-21,1.323932E-15,4.738838E-15,1.5171144E-15,1.4667983E-15,1.1301323E-15,6.961946E-16,6.948477E-17,8.1012317E-16,1.0402369E-15,4.854773E-16,9.083083E-16,1.0998616E-16,1.256141E-15,2.0138043E-17,1.016351193189621E-15,1.8503600955009463E-15,7.722750902175903E-15,1.386265153065324E-15,1.2195322E-16,1.7130929E-16,1.0708671E-16,6.517317E-17,2.4975223E-17,6.989414E-18
Region 6,10.898833,41.3875,8.73,1.2313105E-20,5.996272E-21,5.1944507E-21,4.0921202E-21,6.4441227E-22,2.5570869E-16,5.381169E-16,2.4810347E-16,1E-30,1.0022126E-16,1.251804E-16,2.8816514E-17,1.4112816E-16,2.383858E-16,6.604057E-17,1.5911957E-16,3.013778E-17,2.4480843E-16,1.8942694E-17,1.5911957621574402E-16,3.795139640569687E-16,7.862203866243363E-16,2.938888929784298E-16,2.459191E-17,1.4107703E-17,1.3513569E-17,1.2103434E-17,1.9103587E-17,1.8817135E-17
Region 2,11.345208,41.648083,9.07,3.647642E-21,1.7315437E-21,3.3127875E-21,7.041917E-21,1.0740205E-21,1.1013532E-15,1.4660651E-15,1.2877974E-15,9.662968E-16,3.2695856E-16,6.997312E-16,5.3268694E-17,4.712781E-16,6.5824434E-16,2.3180065E-16,4.770819E-16,1.0849467E-16,3.553679E-16,4.469875E-17,5.136768408119679E-16,1.1295224130153656E-15,3.72015929222107E-15,5.085613168776036E-16,4.7807244E-17,6.1203285E-17,1.812889E-17,2.167376E-17,1.02323E-17,3.0526414E-18
